employee_id,age,gender,department,job_role,years_experience,years_at_company,years_since_last_promotion,monthly_salary,annual_salary,job_satisfaction,work_life_balance,performance_rating,overtime,commute_distance_km,marital_status,education_field,attrition
1001,20,Male,Sales,Sales Manager,5,0,0,5100,61200,4,2,3,No,9.0,Married,Engineering,No
1002,31,Female,Engineering,Software Engineer,12,0,0,9340,112100,4,3,3,No,1.8,Single,Engineering,No
1003,20,Male,Finance,Accountant,10,10,1,6940,83300,4,2,3,No,5.6,Married,Business,No
1004,34,Female,Customer Support,Support Lead,13,2,2,5630,67600,2,3,2,No,16.2,Married,Marketing,No
1005,31,Female,Finance,Financial Analyst,0,0,0,4220,50700,2,2,3,No,4.8,Married,Engineering,No
1006,24,Male,Finance,Finance Manager,6,1,1,6480,77800,3,2,4,Yes,4.1,Married,Marketing,No
1007,52,Female,Engineering,Senior Engineer,1,1,1,6720,80600,3,1,4,No,7.5,Divorced,Business,No
1008,34,Female,Customer Support,Support Lead,0,0,0,4020,48200,3,2,3,No,5.9,Single,Engineering,No
1009,50,Female,Customer Support,Support Lead,5,0,0,4220,50600,2,1,1,Yes,13.2,Single,Engineering,Yes
1010,47,Male,Sales,Sales Executive,4,3,0,4770,57200,1,2,3,Yes,29.9,Single,Engineering,Yes
1011,25,Female,Sales,Sales Executive,5,5,1,3830,46000,4,2,2,No,10.8,Married,Engineering,No
1012,52,Female,Customer Support,Support Associate,6,1,1,4020,48200,2,4,3,No,1.0,Single,Engineering,Yes
1013,36,Male,HR,HR Manager,1,1,0,4860,58300,3,1,3,Yes,1.0,Single,Marketing,Yes
1014,33,Female,Sales,Sales Manager,4,1,0,5280,63400,3,1,3,No,5.0,Single,Marketing,No
1015,48,Male,Customer Support,Support Lead,7,1,1,4290,51500,3,4,2,No,9.1,Single,Marketing,No
1016,34,Male,Engineering,QA Engineer,12,0,0,9120,109400,3,1,4,No,6.6,Married,Engineering,No
1017,28,Male,Sales,Sales Manager,14,8,0,6690,80300,3,1,3,Yes,27.6,Single,Engineering,No
1018,42,Female,Sales,Sales Manager,11,1,1,5900,70800,4,3,3,Yes,17.1,Single,Other,No
1019,25,Male,Customer Support,Support Associate,8,5,5,4380,52500,4,1,4,No,6.2,Married,Marketing,No
1020,34,Female,Finance,Financial Analyst,5,1,1,6080,72900,3,4,3,Yes,8.7,Married,Business,No
1021,52,Male,Sales,Sales Executive,9,4,0,5850,70200,3,3,3,No,12.0,Married,Engineering,Yes
1022,38,Male,Finance,Accountant,8,1,1,5480,65800,1,3,2,No,10.6,Married,Business,No
1023,33,Male,Engineering,Engineering Manager,13,1,1,9950,119400,3,4,2,No,1.0,Married,Other,Yes
1024,34,Female,Engineering,Senior Engineer,1,1,1,7440,89300,3,3,4,No,3.6,Married,Engineering,No
1025,39,Male,Engineering,QA Engineer,0,0,0,6170,74000,2,1,3,No,1.0,Single,Engineering,No
1026,35,Male,Sales,Account Manager,7,3,2,4490,53900,1,3,4,No,19.7,Divorced,Other,Yes
1027,34,Male,Marketing,Marketing Associate,13,0,0,6080,73000,4,2,4,No,1.0,Married,Marketing,No
1028,23,Male,Customer Support,Support Associate,11,3,0,4840,58100,4,3,4,No,1.0,Married,Business,No
1029,40,Male,Sales,Account Manager,4,1,1,4070,48800,2,3,3,No,6.9,Divorced,HR,Yes
1030,49,Female,Engineering,Software Engineer,7,1,1,8280,99400,3,3,3,No,2.5,Married,Engineering,No
1031,37,Male,Sales,Sales Executive,8,0,0,4490,53900,4,3,3,No,4.4,Single,Business,No
1032,38,Female,Finance,Financial Analyst,3,3,0,5330,64000,1,4,3,No,6.2,Married,Other,No
1033,46,Male,Customer Support,Support Manager,8,1,1,5410,64900,4,3,3,No,15.1,Married,Other,No
1034,20,Female,Marketing,Content Specialist,7,1,1,6480,77800,4,4,2,Yes,3.8,Married,Marketing,No
1035,25,Male,Sales,Sales Executive,16,2,0,6210,74500,4,2,2,No,4.2,Married,HR,No
1036,31,Female,Sales,Sales Manager,5,3,0,3960,47500,4,3,3,No,4.8,Single,Engineering,No
1037,21,Female,Marketing,Marketing Manager,5,2,2,5620,67500,1,3,3,No,16.2,Married,Other,Yes
1038,20,Male,Engineering,Software Engineer,8,3,3,8080,97000,3,1,4,No,2.4,Single,Engineering,No
1039,27,Male,Sales,Account Manager,12,5,1,6030,72400,1,4,1,Yes,2.3,Married,Marketing,Yes
1040,21,Male,Sales,Sales Executive,5,0,0,4480,53800,2,4,2,No,5.8,Married,Business,Yes
1041,36,Male,Customer Support,Support Lead,8,1,1,3790,45500,3,4,3,No,3.4,Single,Marketing,No
1042,20,Male,Marketing,Content Specialist,12,2,0,6860,82300,4,2,2,No,6.8,Married,Engineering,No
1043,36,Male,Sales,Sales Executive,2,2,1,4450,53400,1,2,4,No,1.0,Married,Engineering,No
1044,25,Female,Sales,Account Manager,6,1,0,5420,65100,4,3,3,No,6.2,Married,Business,No
1045,37,Female,Finance,Accountant,5,1,1,5960,71500,3,4,3,No,5.5,Married,HR,No
1046,48,Male,Finance,Finance Manager,5,1,1,5950,71400,4,2,4,Yes,6.9,Married,Engineering,No
1047,44,Male,Customer Support,Support Associate,7,0,0,4650,55800,3,3,3,Yes,5.7,Married,Business,No
1048,38,Female,Customer Support,Support Manager,3,2,2,3980,47700,2,2,3,No,1.0,Married,Engineering,Yes
1049,34,Male,Engineering,Engineering Manager,11,0,0,9790,117500,1,4,2,No,9.4,Single,HR,No
1050,37,Female,Engineering,Senior Engineer,5,5,4,6390,76700,2,3,3,No,4.4,Married,HR,No
1051,20,Male,HR,HR Manager,11,0,0,5450,65400,3,4,4,No,22.3,Married,Marketing,Yes
1052,40,Male,HR,HR Executive,3,0,0,4670,56000,2,3,3,No,8.0,Single,Business,No
1053,38,Male,Customer Support,Support Manager,8,1,1,4650,55800,4,2,3,No,1.0,Divorced,Engineering,No
1054,25,Male,Engineering,Software Engineer,13,0,0,10350,124200,3,3,4,No,5.0,Married,Engineering,No
1055,21,Male,Engineering,Engineering Manager,6,0,0,7650,91800,3,3,3,No,1.0,Married,HR,No
1056,39,Male,Finance,Accountant,5,4,4,5170,62000,4,4,3,Yes,4.7,Single,Business,No
